service	class	binary	user	flags	defined_in
ledctrld	core	/system/bin/ledctrld	-	oneshot	extract_init.rockchip.rc
lmkd	core	/system/bin/lmkd	-	-	sys_lmkd.rc
logd	-	/system/bin/logd	logd	-	sys_logd.rc
logd-reinit	-	/system/bin/logd	logd	oneshot,disabled	sys_logd.rc
mdnsd	main	/system/bin/mdnsd	mdnsr	disabled,oneshot	sys_mdnsd.rc
media	main	/system/bin/mediaserver	media	-	sys_mediaserver.rc
mediadrm	main	/system/bin/mediadrmserver	media	-	sys_mediadrmserver.rc
mediaextractor	main	/system/bin/mediaextractor	mediaex	-	sys_mediaextractor.rc
mediametrics	main	/system/bin/mediametrics	media	-	sys_mediametrics.rc
mtpd	main	/system/bin/mtpd	vpn	disabled,oneshot	sys_mtpd.rc
netd	main	/system/bin/netd	-	-	sys_netd.rc
pppoe_setup	-	/system/bin/pppoe-setup	-	disabled,oneshot	extract_init.rk30board.rc
pppoe_start	-	/system/bin/pppoe-start	-	disabled,oneshot	extract_init.rk30board.rc
pppoe_stop	-	/system/bin/pppoe-stop	-	disabled,oneshot	extract_init.rk30board.rc
projectorfanpid	core	/system/bin/projectorfanpid	-	oneshot	extract_init.rockchip.rc
racoon	main	/system/bin/racoon	vpn	disabled,oneshot	sys_racoon.rc
recovery	-	/sbin/recovery	-	-	init.rc
rk_store_keybox	main	/vendor/bin/rk_store_keybox	-	oneshot	extract_init.rk30board.rc
rockchip.drmservice	main	/vendor/bin/rockchip.drmservice	-	oneshot	ven_init.rockchip.drmservice.rc
servicemanager	core animation	/system/bin/servicemanager	system	-	sys_servicemanager.rc
setup-bcb	main	/system/bin/uncrypt	-	disabled,oneshot	sys_uncrypt.rc
shutdownanim	core	/system/bin/bootanimation	graphics	disabled,oneshot	extract_init.rk30board.rc
statsd	main	/system/bin/statsd	statsd	-	sys_statsd.rc
storaged	main	/system/bin/storaged	root	-	sys_storaged.rc
surfaceflinger	core animation	/system/bin/surfaceflinger	system	-	sys_surfaceflinger.rc
tee-supplicant	core	/vendor/bin/tee-supplicant	-	-	venhw_init.optee.rc
thermalservice	core	/system/bin/thermalserviced	system	-	sys_thermalservice.rc
tombstoned	late_start	/system/bin/tombstoned	tombstoned	-	sys_tombstoned.rc
traced	late_start	/system/bin/traced	nobody	disabled	sys_perfetto.rc
traced_probes	late_start	/system/bin/traced_probes	nobody	disabled	sys_perfetto.rc
ueventd	core	/sbin/ueventd	-	-	init.rc
uncrypt	main	/system/bin/uncrypt	-	disabled,oneshot	sys_uncrypt.rc
up_eth0	main	/system/bin/busybox	-	oneshot	extract_init.rk30board.rc
update_engine	late_start	/system/bin/update_engine	root	disabled	sys_update_engine.rc
update_verifier	-	/system/bin/update_verifier	root	-	sys_update_verifier.rc
update_verifier_nonencrypted	-	/system/bin/update_verifier	root	-	sys_update_verifier.rc
usbd	late_start	/system/bin/usbd	root	oneshot	sys_usbd.rc
vendor.audio-hal-2-0	hal	/vendor/bin/hw/android.hardware.audio@2.0-service	audioserver	oneshot	ven_android.hardware.audio@2.0-service.rc
vendor.bluetooth-1-0	hal	/vendor/bin/hw/android.hardware.bluetooth@1.0-service	bluetooth	-	ven_android.hardware.bluetooth@1.0-service.rc
vendor.boot-hal-1-0	early_hal	/vendor/bin/hw/android.hardware.boot@1.0-service	root	-	ven_android.hardware.boot@1.0-service.rc
vendor.camera-provider-2-4	hal	/vendor/bin/hw/android.hardware.camera.provider@2.4-service	cameraserver	-	ven_android.hardware.camera.provider@2.4-service.rc
vendor.cas-hal-1-0	hal	/vendor/bin/hw/android.hardware.cas@1.0-service	media	-	ven_android.hardware.cas@1.0-service.rc
vendor.configstore-hal	hal animation	/vendor/bin/hw/android.hardware.configstore@1.1-service	system	-	ven_android.hardware.configstore@1.1-service.rc
vendor.drm-clearkey-hal-1-1	hal	/vendor/bin/hw/android.hardware.drm@1.1-service.clearkey	media	-	ven_android.hardware.drm@1.1-service.clearkey.rc
vendor.drm-hal-1-0	hal	/vendor/bin/hw/android.hardware.drm@1.0-service	media	-	ven_android.hardware.drm@1.0-service.rc
vendor.gatekeeper-1-0	hal	/vendor/bin/hw/android.hardware.gatekeeper@1.0-service	system	-	ven_android.hardware.gatekeeper@1.0-service.rc
vendor.gralloc-2-0	hal animation	/vendor/bin/hw/android.hardware.graphics.allocator@2.0-service	system	-	ven_android.hardware.graphics.allocator@2.0-service.rc
vendor.hwcomposer-2-1	hal animation	/vendor/bin/hw/android.hardware.graphics.composer@2.1-service	system	-	ven_android.hardware.graphics.composer@2.1-service.rc
vendor.insmod_sh	main	/vendor/bin/init.insmod.sh	root	disabled,oneshot	extract_init.rockchip.rc
vendor.keymaster-3-0	early_hal	/vendor/bin/hw/android.hardware.keymaster@3.0-service	system	-	ven_android.hardware.keymaster@3.0-service.rc
vendor.light-hal-2-0	hal	/vendor/bin/hw/android.hardware.light@2.0-service	system	-	ven_android.hardware.light@2.0-service.rc
vendor.media.omx	main	/vendor/bin/hw/android.hardware.media.omx@1.0-service	mediacodec	-	ven_android.hardware.media.omx@1.0-service.rc
vendor.power-hal-1-0	hal	/vendor/bin/hw/android.hardware.power@1.0-service	system	-	ven_android.hardware.power@1.0-service.rc
vendor.wifi_hal_legacy	hal	/vendor/bin/hw/android.hardware.wifi@1.0-service	wifi	-	ven_android.hardware.wifi@1.0-service.rc
vndservicemanager	core	/vendor/bin/vndservicemanager	system	-	ven_vndservicemanager.rc
vold	core	/system/bin/vold	-	-	sys_vold.rc
wait_for_keymaster	-	/system/bin/wait_for_keymaster	root	-	sys_wait_for_keymaster.rc
watchdogd	core	/sbin/watchdogd	-	disabled	extract_init.rockchip.rc
wfd	main	/system/bin/wfd	-	disabled,oneshot	extract_init.rockchip.rc
wificond	main	/system/bin/wificond	wifi	-	sys_wificond.rc
wpa_supplicant	main	/vendor/bin/hw/wpa_supplicant	-	disabled,oneshot	venhw_init.connectivity.rc
